text_id,sent_id,finite_verb,non_finite_verb,sent,length,last_ment,befaft_bef,befaft_aft,argstr_NC,argstr_NP,argstr_PP,tense_pre,tense_pst,tense_fut,tense_cond,verb_POS,target_form
3,2147,start,flow," If de Klerk can convince the world that South Africa has come far enough in improving its record on human rights , sanctions will be lifted and crucial foreign capital will start flowing into the country .",4,-1,0,0,0,0,1,0,0,1,0,VVG,1
4,3128,hate,kick," But we can say nothing to these things you know Jackson , we must jog on and be content with the jingling of the bells , only d -- it , I hate a dust , and kicking up a dust , and being confined in harness while others ride in the waggon , under cover , stretching their legs in the straw at ease , and gazing at green trees and blue skies without half my Taste .",4,-1,0,1,0,1,0,1,0,0,0,VVG,1
4,3262,start,write," More than a hundred years have passed since Morelli started writing ; in that time many problems of authorship have been solved , while about others tacit agreement has been reached .",5,-1,0,0,1,0,0,1,0,0,0,VVG,1
5,4662,start,come," Born in 1932 , he retired as a foreign correspondent for the Polish Press Agency in 1981 , by which time his three books had started to come out .",4,15,0,0,1,0,0,0,1,0,0,VV,0
5,4941,hate,hear," Here and elsewhere , the method , for all that Amis would hate to hear it , is dialectical .",4,-1,0,0,1,0,0,1,0,0,0,VV,0
6,5641,start,think, In the first place you will start to think about how an actor 's work differs according to the demands of the medium .,5,-1,0,0,1,0,0,0,0,1,0,VV,0
6,6940,start,take," But in the first term all students start from the base line , and take many classes , individual tutorials and work on production projects .",4,4,0,1,0,1,0,1,0,0,0,VV,0
6,7277,hate,see, I hated seeing myself at first -- we all did .,3,-1,0,0,0,0,1,0,1,0,0,VVG,1
6,7934,start,act, When did you start acting ?,3,25,0,0,1,0,0,0,1,0,0,VVG,1
8,9543,start,transcribe," Goldberg , images of their last meeting in the narrow entrance of the elegant little Scottish National Gallery of Modern Art dancing in his head , slipped a sheet of A4 into his old Olivetti portable and started to transcribe .",10,-1,0,0,1,0,0,0,1,0,0,VV,0
8,10005,start,go," I need to move slowly across from the left and see where things start to go wrong , he wrote .",2,1,0,1,1,0,0,0,1,0,0,VV,0
8,10726,start,play, Marcus leaps out of bed and starts to play Victorian hymns on the little portable organ he has in his bedroom .,4,11,0,1,0,1,0,1,0,0,0,VV,0
8,10727,start,echo, Whole house starts to echo with the booming sound .,4,-1,0,0,0,0,1,1,0,0,0,VV,0
8,10730,start,distort," Sometimes plays straight , sometimes starts to distort , hardly perceptible at first , then more and more , until he is producing wild expressionist shrieks or light medieval dances , then gradually the hymn reasserts itself until all is as it should be .",7,-1,0,1,0,0,1,1,0,0,0,VV,0
8,10765,start,hear, I start to hear everything much better than I normally do .,4,-1,0,1,0,1,0,1,0,0,0,VV,0
8,11398,start,do," Once installed , he wrote , it will start to do its work , and it will go on doing it , in the day-time , in the night-time , in the midst of visitors and in the empty silence , when the mausoleum is open to the public and when the mausoleum is closed to the public .",2,-1,0,1,0,1,0,0,1,0,0,VV,0
8,11479,start,make, Two years since I set up the glass and started to make marks on it .,4,12,0,1,0,1,0,0,1,0,0,VV,0
8,11817,start,make," Starting to make bachelor apparatus interesting again , as I hoped it might .",4,-1,0,1,1,0,0,1,0,0,0,VV,0
8,11850,start,dance," Yesterday , he wrote , it started to dance for me again .",5,-1,0,0,0,0,1,0,1,0,0,VV,0
8,12007,start,drain, But tension starting to drain out of whole thing .,5,-1,0,0,0,0,1,0,0,0,0,VV,0
8,12100,start,breathe," My recurring thought , he wrote : that the big glass will only start to breathe when I am gone .",7,-1,0,0,1,0,0,0,1,0,0,VV,0
8,12588,start,tell," But then decided to ignore my actions , started telling me about himself , his latest article , latest book , latest catalogue introduction , latest love .",4,2,0,0,0,0,1,0,1,0,0,VVG,1
8,12741,start,move, As if now I know it will soon be off my hands time has started to move forward again .,4,-1,0,0,1,0,0,1,0,0,0,VV,0
9,12867,start,slow," When fermentation starts to slow down , a hard spile is used to control the escape of the gas .",4,-1,0,0,1,0,0,1,0,0,0,VV,0
9,12915,start,brew," A taste for IPA spread rapidly through the home market and several large London brewers established plants in Burton to start brewing pale ale or bitter , taking advantage of the Burton waters , rich in gypsum .",4,10,0,1,0,1,0,0,1,0,0,VVG,1
9,12921,start,brew, When Arthur Guinness started to brew porter in his Dublin brewery he created an insatiable demand for his beer that has never waned in Ireland .,4,5,0,1,0,1,0,0,1,0,0,VV,0
11,13653,start,go," Bill Murray spent 50,000 on setting up his restaurant at Telegraph Hill , near Exeter , Devon , two years ago but said the business started to go downhill when he handed it over to a manager to run .",2,-1,0,0,1,0,0,0,1,0,0,VV,0
11,14757,start,cook," But the evil ravages of the British educational system at its worst were not enough to keep her away from her first love forever , and she started to cook with simplicity and a straightforward style which she has maintained .",4,2,0,0,0,0,1,0,1,0,0,VV,0
11,14923,start,lose," He rates their subtlety , but points out that they can be mixed only with warm sauces or , he warns , they start to lose their delicacy .",4,9,0,1,0,1,0,1,0,0,0,VV,0
11,15029,start,rise, Set menus start at 57 and rise sharply to about 150 150 la carte .,4,-1,0,0,1,0,0,1,0,0,0,VV,0
11,15107,start,handle, About midnight she started handling interviews .,6,2,0,1,0,1,0,0,1,0,0,VVG,1
