text_id,sent_id,finite_verb,non_finite_verb,sentence,length,lastmention,verb_start,verb_begin,verb_love,verb_hate,argstr_NC,argstr_NP,argstr_PP,tense_pre,tense_pst,tense_fut,tense_cond,verb_POS,target_form
1,549,begin,wonder, Your friends begin to wonder what is wrong .,6,-1,0,1,0,0,1,0,0,1,0,0,0,VV,0
1,550,begin,hate, You begin to hate yourself for what you 're doing .,4,-1,0,1,0,0,0,0,1,1,0,0,0,VV,0
1,1004,begin,wonder," I was particularly impressed by the way you managed to organise all the available services so efficiently -- just at the time when we were beginning to wonder how we 'd manage . """,6,-1,0,1,0,0,1,0,0,0,1,0,0,VV,0
2,1094,begin,help," With possibly one in three of adults in some African towns and cities already HIV infected , it is hard to know how to begin to help .",4,4,0,1,0,0,1,0,0,0,1,0,0,VV,0
3,2147,start,flow," If de Klerk can convince the world that South Africa has come far enough in improving its record on human rights , sanctions will be lifted and crucial foreign capital will start flowing into the country .",4,-1,1,0,0,0,0,0,1,0,0,1,0,VVG,1
4,2887,begin,work," For , once we have made the first approach to the Landshut Virgin and acquired a first set of impressions , the changeableness of the figure begins to work on us further , now less in the dimension of greater or lesser distance and more in the angle of view .",4,-1,0,1,0,0,0,0,1,1,0,0,0,VV,0
4,3128,hate,kick," But we can say nothing to these things you know Jackson , we must jog on and be content with the jingling of the bells , only d -- it , I hate a dust , and kicking up a dust , and being confined in harness while others ride in the waggon , under cover , stretching their legs in the straw at ease , and gazing at green trees and blue skies without half my Taste .",4,-1,0,0,0,1,0,1,0,1,0,0,0,VVG,1
4,3262,start,write," More than a hundred years have passed since Morelli started writing ; in that time many problems of authorship have been solved , while about others tacit agreement has been reached .",5,-1,1,0,0,0,1,0,0,0,1,0,0,VVG,1
5,4024,begin,write," Times have changed since Naipaul began to write about the societies of the Caribbean : these are now less apt to seem , to the outsider , petty and remote .",5,-1,0,1,0,0,0,0,1,0,1,0,0,VV,0
5,4120,begin,fail," When the friendship begins to fail , he says : "" What she drew out of me remained extraordinary to me . """,4,-1,0,1,0,0,1,0,0,1,0,0,0,VV,0
5,4122,begin,consider," He finds himself "" considering the idea of flight "" , and the idea of defeat : "" 1 suppose that , thinking of my own harassment and Raymond 's defeat , I had begun to consider Yvette a defeated person as well , trapped in the town , as sick of herself and the wasting asset of her body as I was sick of myself and my anxieties . """,8,0,0,1,0,0,0,1,0,1,0,0,0,VV,0
5,4538,love,make," His first loves -- to make use of Klima 's title -- prove to be his last , but prove as engrossing to him as the lyrics in which his emotional development is encoded .",4,7,0,0,1,0,0,1,0,1,0,0,0,VV,0
5,4662,start,come," Born in 1932 , he retired as a foreign correspondent for the Polish Press Agency in 1981 , by which time his three books had started to come out .",4,15,1,0,0,0,1,0,0,0,1,0,0,VV,0
5,4750,begin,embarrass, It is a war which has begun to embarrass the interveners .,9,-1,0,1,0,0,0,1,0,1,0,0,0,VV,0
5,4839,love,ride," Pechorin is a cold-hearted , stylish fatalist , experimentalist , existentialist and divided man , a traveller , gambler , heart-breaker and forgetter of old friends , who loves to ride "" a spirited horse through the long grass against a desert wind "" .",4,-1,0,0,1,0,0,1,0,1,0,0,0,VV,0
5,4941,hate,hear," Here and elsewhere , the method , for all that Amis would hate to hear it , is dialectical .",4,-1,0,0,0,1,1,0,0,1,0,0,0,VV,0
6,5641,start,think, In the first place you will start to think about how an actor 's work differs according to the demands of the medium .,5,-1,1,0,0,0,1,0,0,0,0,1,0,VV,0
6,6044,love,taunt," Yet he obviously loves taunting Romeo about the "" sickness "" of love .",5,-1,0,0,1,0,0,1,0,1,0,0,0,VVG,1
6,6444,love,read," But to say the truth , madam , let a man love reading never so well , when once he comes to know this tawn , he finds so many better ways of passing the four-and-twenty hours , that 't were ten thousand pities he should consume his time in that .",4,-1,0,0,1,0,1,0,0,1,0,0,0,VVG,1
6,6967,begin,assess," Either way , the main intention will be to establish a way of working , and to begin assessing students ' voice and movement abilities .",6,-1,0,1,0,0,0,1,0,0,0,1,0,VVG,1
6,7102,begin,send, As a student in your last term you will begin to send out letters and photographs of yourself to all possible valuable contacts .,4,-1,0,1,0,0,0,1,0,0,0,1,0,VV,0
6,7277,hate,see, I hated seeing myself at first -- we all did .,3,-1,0,0,0,1,0,0,1,0,1,0,0,VVG,1
6,7934,start,act, When did you start acting ?,3,25,1,0,0,0,1,0,0,1,0,0,0,VVG,1
7,8255,begin,appear," A further central belief has recently begun to appear as equivocal , namely loyalism itself .",6,9,0,1,0,0,1,0,0,1,0,0,0,VV,0
7,9024,begin,repeal, A campaign begun in 1971 to repeal the ban dating from 1935 culminated in the famous appeal of Mrs McGee to the Supreme Court to declare she had a right to use contraceptives .,6,-1,0,1,0,0,0,1,0,1,0,0,0,VV,0
7,9177,begin,call," TDs who opposed the amendment , such as Oliver J. Flanagan on 13 May and Dr Michael Woods on 14 May , began to call on "" the silent majority , to make their opposition to divorce known .",4,-1,0,1,0,0,0,0,1,0,1,0,0,VV,0
7,9317,begin,pressurize," With the Irish party abstaining , both English and Irish Roman catholic bishops began to pressurize the leader of the Irish party , Redmond , and his associates to support the Conservative bill .",10,-1,0,1,0,0,0,1,0,0,1,0,0,VV,0
7,9378,begin,replace," The "" community "" or comprehensive-type schools which are beginning to replace vocational and local church schools have a more religious flavour , as they may include the interests of a former convent , which the new school is in part replacing , a former vocational school , and possibly a former diocesan boys ' school as well .",7,-1,0,1,0,0,0,1,0,1,0,0,0,VV,0
7,9418,begin,refuse," At the same time , the late Bishop Philbin began to refuse the sacrament of Confirmation to Roman catholic children attending state schools .",6,-1,0,1,0,0,0,1,0,0,1,0,0,VV,0
7,9422,begin,send," Some of its parents had begun sending their children to the less protestant dominated schools within the state system , shortly before the movement was formed .",4,11,0,1,0,0,0,1,0,0,1,0,0,VVG,1
8,9543,start,transcribe," Goldberg , images of their last meeting in the narrow entrance of the elegant little Scottish National Gallery of Modern Art dancing in his head , slipped a sheet of A4 into his old Olivetti portable and started to transcribe .",10,-1,1,0,0,0,1,0,0,0,1,0,0,VV,0
8,9990,begin,squint," He pushed the pad aside , drew the typewriter towards him and began to type again , squinting down at his friend s tiny handwriting .",6,-1,0,1,0,0,0,0,1,0,1,0,0,VVG,1
8,10005,start,go," I need to move slowly across from the left and see where things start to go wrong , he wrote .",2,1,1,0,0,0,1,0,0,1,0,0,0,VV,0
8,10040,begin,pull," And Goldberg , pulling the pad towards him and seizing his felt-tip pen , began to write .",4,13,0,1,0,0,0,1,0,0,1,0,0,VVG,1
